video,frame_idx,left_hand_detected,right_hand_detected,roi_rescued_count,mean_pose_visibility,mediapipe_ms
webcam_20260523_203425,185,False,False,0,0.393391877412796,69.00080014020205
webcam_20260523_203425,186,False,False,0,0.3936249911785126,65.51989982835948
webcam_20260523_203425,187,False,False,0,0.39357900619506836,68.91630007885396
webcam_20260523_203425,188,True,False,0,0.40757128596305847,71.94110006093979
webcam_20260523_203425,189,True,False,0,0.42431747913360596,73.51740007288754
webcam_20260523_203425,190,True,False,0,0.44445496797561646,80.54280001670122
webcam_20260523_203425,191,True,True,0,0.4617399275302887,86.96320001035929
webcam_20260523_203425,192,True,True,0,0.47835928201675415,74.03100002557039
webcam_20260523_203425,193,True,True,0,0.4928654134273529,83.55079987086356
webcam_20260523_203425,194,True,True,0,0.505601167678833,81.76089986227453
webcam_20260523_203425,195,True,True,0,0.5162674188613892,79.733100021258
webcam_20260523_203425,196,True,True,0,0.5256978273391724,74.45199997164309
webcam_20260523_203425,197,True,True,0,0.5343230366706848,82.15120015665889
webcam_20260523_203425,198,True,True,0,0.5395194888114929,78.16649996675551
webcam_20260523_203425,199,True,False,0,0.5323450565338135,73.52620013989508
webcam_20260523_203425,200,True,False,0,0.5301015377044678,78.75029998831451
webcam_20260523_203425,201,True,True,0,0.521280825138092,78.14730005338788
webcam_20260523_203425,202,True,True,0,0.5217218995094299,80.77480015344918
webcam_20260523_203425,203,True,True,0,0.5204395651817322,71.31289993412793
webcam_20260523_203425,204,True,True,0,0.5209147930145264,71.49000000208616
webcam_20260523_203425,205,True,True,0,0.5255342125892639,69.81069990433753
webcam_20260523_203425,206,True,True,0,0.533096194267273,70.92020008713007
webcam_20260523_203425,207,True,True,0,0.5406720042228699,72.24090001545846
webcam_20260523_203425,208,True,True,0,0.5512477159500122,77.04060012474656
webcam_20260523_203425,209,True,True,0,0.5616625547409058,69.70719993114471
webcam_20260523_203425,210,True,True,0,0.5691919326782227,71.20489981025457
webcam_20260523_203425,211,True,True,0,0.5776621103286743,76.2723998632282
webcam_20260523_203425,212,True,True,0,0.5856965184211731,74.0730999968946
webcam_20260523_203425,213,True,True,0,0.592529833316803,69.20980010181665
webcam_20260523_203425,214,True,True,0,0.5981826186180115,77.23579998128116
webcam_20260523_203425,215,True,True,0,0.6039134860038757,68.85839998722076
webcam_20260523_203425,216,True,True,0,0.609153151512146,70.49409998580813
webcam_20260523_203425,217,True,True,0,0.6132838726043701,70.99370006471872
webcam_20260523_203425,218,True,True,0,0.6175701022148132,67.2371000982821
webcam_20260523_203425,219,True,True,0,0.6214571595191956,70.3308000229299
webcam_20260523_203425,220,True,True,0,0.624729335308075,72.46679998934269
webcam_20260523_203425,221,True,True,0,0.627683162689209,74.08950012177229
webcam_20260523_203425,222,True,True,0,0.6305984854698181,69.69569995999336
webcam_20260523_203425,223,True,True,0,0.6322316527366638,69.6853999979794
webcam_20260523_203425,224,True,True,0,0.6349168419837952,69.93320002220571
webcam_20260523_203425,225,True,True,0,0.6355434656143188,74.60429985076189
webcam_20260523_203425,226,True,True,0,0.637067973613739,69.96250012889504
webcam_20260523_203425,227,True,True,0,0.638003408908844,70.6269999500364
